ERROR | 23-05-2019 | 00:27:32 | com.epam.igorpystovit.view.Reader -> 'Bad input!'
ERROR | 23-05-2019 | 00:28:35 | com.epam.igorpystovit.view.Reader -> 'Bad input!'
ERROR | 23-05-2019 | 00:30:19 | com.epam.igorpystovit.view.Reader -> 'Bad input!'
ERROR | 23-05-2019 | 00:30:26 | com.epam.igorpystovit.view.Reader -> 'Bad input!'
ERROR | 23-05-2019 | 02:18:09 | com.epam.igorpystovit.view.Menu -> 'Bad request'  
ERROR | 23-05-2019 | 02:34:46 | com.epam.igorpystovit.view.Menu -> 'Bad request'  
ERROR | 23-05-2019 | 02:35:15 | com.epam.igorpystovit.view.Reader -> 'Bad input!'
ERROR | 23-05-2019 | 02:35:19 | com.epam.igorpystovit.view.Reader -> 'Bad input!'
ERROR | 24-05-2019 | 14:51:02 | com.epam.igorpystovit.view.Menu -> 'Bad requestID ID'  
WARN  | 24-05-2019 | 21:33:40 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'
WARN  | 24-05-2019 | 21:35:17 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'
WARN  | 24-05-2019 | 21:35:20 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'
WARN  | 24-05-2019 | 21:35:22 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'
ERROR | 24-05-2019 | 21:35:55 | com.epam.igorpystovit.view.Menu -> 'Bad requestID ID'  
WARN  | 24-05-2019 | 21:45:33 | com.epam.igorpystovit.controller.Controller -> 'Wrong index'  
ERROR | 24-05-2019 | 21:55:04 | com.epam.igorpystovit.view.Menu -> 'Bad requestID'  
ERROR | 24-05-2019 | 21:55:41 | com.epam.igorpystovit.view.Menu -> 'Bad requestID'  
WARN  | 24-05-2019 | 21:57:43 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'  
WARN  | 24-05-2019 | 21:57:43 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'  
WARN  | 24-05-2019 | 21:57:45 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'  
WARN  | 24-05-2019 | 21:57:48 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'  
WARN  | 24-05-2019 | 21:57:49 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'  
WARN  | 24-05-2019 | 21:57:49 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'  
WARN  | 24-05-2019 | 21:57:49 | com.epam.igorpystovit.view.Reader -> 'Bad int value input!'  
ERROR | 24-05-2019 | 21:57:51 | com.epam.igorpystovit.view.Menu -> 'Bad requestID'  
ERROR | 24-05-2019 | 21:57:56 | com.epam.igorpystovit.view.Menu -> 'Bad requestID'  
ERROR | 24-05-2019 | 22:05:15 | com.epam.igorpystovit.view.Menu -> 'Bad requestID'  
ERROR | 24-05-2019 | 22:05:22 | com.epam.igorpystovit.view.Menu -> 'Bad requestID'  
ERROR | 24-05-2019 | 22:07:08 | com.epam.igorpystovit.view.Menu -> 'Bad requestID'  
ERROR | 24-05-2019 | 22:12:12 | com.epam.igorpystovit.view.Menu -> 'Bad requestID'  
ERROR | 24-05-2019 | 22:27:11 | com.epam.igorpystovit.view.Menu -> 'Bad requestID'  
ERROR | 24-05-2019 | 22:27:24 | com.epam.igorpystovit.view.Menu -> 'Bad requestID'  
